ch_410nm,ch_435nm,ch_460nm,ch_485nm,ch_510nm,ch_535nm,ch_560nm,ch_585nm,ch_610nm,ch_645nm,ch_680nm,ch_705nm,ch_730nm,ch_760nm,ch_810nm,ch_860nm,ch_900nm,ch_940nm,pH,class_label,class_name
0.0713,0.0511,0.0749,0.1009,0.0438,0.0463,0.1258,0.1345,0.1454,0.333,0.3184,0.392,0.469,0.3656,0.42,0.4788,0.4459,0.478,4.02,0,Fresh
0.0063,0.1042,0.0461,0.0527,0.0034,0.0352,0.0683,0.0464,0.1939,0.2508,0.3306,0.3823,0.5745,0.4739,0.4507,0.5374,0.4368,0.4732,3.81,0,Fresh
0.0092,0.0622,0.0779,0.0561,0.0478,0.0439,0.0062,0.0662,0.1459,0.37,0.3758,0.2992,0.4744,0.4527,0.4682,0.5285,0.5358,0.5063,4.03,0,Fresh
0.0439,0.0666,0.0858,0.0346,0.0454,0.0151,0.0172,0.1366,0.2502,0.2888,0.4228,0.4512,0.4109,0.4953,0.57,0.5011,0.5592,0.3438,4.36,0,Fresh
0.0574,0.0458,0.0566,0.0,0.0443,0.0674,0.1218,0.0754,0.1259,0.2579,0.4166,0.4489,0.4185,0.5039,0.5038,0.5436,0.4596,0.4487,4.12,0,Fresh
0.0046,0.0655,0.0622,0.0506,0.0438,0.0041,0.0475,0.0835,0.1262,0.2824,0.3801,0.5603,0.4646,0.4893,0.4959,0.4213,0.4893,0.4664,4.69,0,Fresh
0.0478,0.0657,0.0524,0.0117,0.0905,0.0816,0.0949,0.0575,0.2528,0.1932,0.3932,0.5821,0.3883,0.4424,0.5039,0.4813,0.4223,0.4668,3.99,0,Fresh
0.0705,0.0253,0.1047,0.0245,0.0408,0.0838,0.0159,0.1097,0.2474,0.1784,0.3645,0.4439,0.5044,0.4042,0.4386,0.5247,0.5035,0.4751,4.27,0,Fresh
0.0312,0.0634,0.0632,0.0268,0.115,0.0716,0.0174,0.1294,0.1163,0.3506,0.4339,0.3666,0.5163,0.4982,0.5371,0.583,0.4797,0.4292,4.02,0,Fresh
0.0266,0.0531,0.0648,0.0596,0.0798,0.0551,0.1209,0.0871,0.3285,0.339,0.2903,0.3487,0.4848,0.4619,0.5321,0.5226,0.4872,0.4249,3.9,0,Fresh
0.0392,0.084,0.0606,0.0092,0.0576,0.0685,0.0294,0.1063,0.1757,0.2118,0.3768,0.4655,0.5241,0.5347,0.4359,0.4629,0.5131,0.4872,4.3,0,Fresh
0.1855,0.0746,0.0911,0.082,0.0738,0.0434,0.0937,0.0637,0.1587,0.2591,0.3572,0.591,0.3309,0.5138,0.4251,0.4826,0.5383,0.4666,3.98,0,Fresh
0.03,0.0782,0.0294,0.0576,0.0533,0.0314,0.1479,0.1284,0.056,0.3074,0.3042,0.4863,0.4013,0.4681,0.5225,0.5393,0.4377,0.4483,4.11,0,Fresh
0.0322,0.1141,0.0669,0.0087,0.0829,0.1305,0.1044,0.0294,0.1445,0.3851,0.301,0.4571,0.5039,0.4218,0.4966,0.3653,0.4454,0.4521,3.95,0,Fresh
0.1099,0.0084,0.039,0.0548,0.1006,0.0034,0.1095,0.0997,0.116,0.3272,0.3655,0.3824,0.4578,0.4527,0.5045,0.5306,0.5602,0.407,4.63,0,Fresh
0.0,0.0507,0.073,0.0598,0.0306,0.0472,0.0447,0.0722,0.2211,0.3196,0.302,0.4897,0.4733,0.521,0.5283,0.4675,0.4658,0.4978,4.32,0,Fresh
0.0537,0.0596,0.0957,0.0309,0.0703,0.0475,0.0555,0.1497,0.2197,0.3525,0.4444,0.4268,0.4979,0.457,0.5142,0.4971,0.4947,0.4909,4.04,0,Fresh
0.1256,0.0224,0.0135,0.0888,0.0786,0.077,0.0886,0.0987,0.1208,0.2994,0.3031,0.4951,0.4436,0.4276,0.4845,0.5201,0.4657,0.426,4.25,0,Fresh
0.0627,0.0389,0.038,0.0581,0.0026,0.0044,0.0359,0.0894,0.1902,0.4001,0.4125,0.4139,0.4519,0.4175,0.4985,0.4904,0.5046,0.4258,4.3,0,Fresh
0.1066,0.0521,0.0668,0.0733,0.0381,0.0627,0.0645,0.1037,0.1279,0.2957,0.3868,0.5292,0.516,0.5974,0.464,0.5396,0.4985,0.5638,4.04,0,Fresh
0.0258,0.0359,0.0,0.033,0.026,0.0601,0.0774,0.1854,0.2269,0.2525,0.2874,0.4605,0.3667,0.579,0.5535,0.4827,0.4151,0.5256,4.18,0,Fresh
0.0965,0.003,0.0338,0.0506,0.0533,0.0386,0.0884,0.0502,0.1641,0.3026,0.388,0.4763,0.3795,0.3872,0.5581,0.5167,0.4575,0.5346,4.22,0,Fresh
0.0945,0.0579,0.1216,0.1086,0.0433,0.0894,0.0892,0.1621,0.1169,0.3433,0.4268,0.2995,0.3757,0.3584,0.4869,0.533,0.5565,0.467,4.53,0,Fresh
0.0074,0.0,0.0517,0.0632,0.0506,0.0,0.0605,0.0393,0.2108,0.3203,0.2844,0.3886,0.3838,0.4711,0.5432,0.4608,0.5126,0.4394,4.04,0,Fresh
0.0507,0.0215,0.0353,0.0108,0.1184,0.0559,0.0366,0.1091,0.1659,0.2781,0.3951,0.4795,0.4184,0.4418,0.4867,0.4051,0.4238,0.5262,4.53,0,Fresh
0.0459,0.0748,0.0638,0.1524,0.0897,0.0501,0.0266,0.0254,0.184,0.2396,0.2501,0.3791,0.3823,0.5708,0.5399,0.5023,0.5555,0.4672,4.03,0,Fresh
